Machine_ID,Usage_Date_x,Spindle_Speed_RPM,Vibration_Level,Temperature,Operation_Hours,Machine_Status,Predicted_Failure,Failure_Date,Failure_Type,Downtime_Hours,Repair_Time_hours,Technician_Name_x,Comments,Last_Maintenance_Date,Next_Schedule_Maintenance_Date,Maintenance_Type,Technician_Name_y,Maintenance_Comments,Usage_Date_y,Parts_Produced,Production_Quality,Rejection_Rate,Idle_Time,Operator,Time_Since_Last_Maintenance,Maintenance_overdue_days,Failure_Rate
CNC030,2024-09-06,4700,3.3,89,11,Running,True,2024-08-02,Spindle Breakdown,8,6,Technician D,Replaced spindle motor,2024-08-15,2024-09-26,Spindle Inspection,Technician D,Checked spindle alignment,2024-09-06,154,High,1.6,0.5,Operator D,87,-46,9.090909090909092
CNC031,2024-09-07,4350,2.2,78,10,Running,False,2024-08-20,Motor Failure,6,4,Technician E,Replaced motor,2024-08-02,2024-09-18,Routine Inspection,Technician E,"Routine oiling, checked bearings",2024-09-07,148,High,1.3,0.4,Operator E,100,-54,10.0
CNC032,2024-09-07,3700,1.9,83,9,Running,True,2024-08-22,Overheating,4,3,Technician F,Adjusted cooling system,2024-08-03,2024-09-19,Vibration Control,Technician F,Adjusted vibration damping,2024-09-07,133,Medium,3.1,1.1,Operator F,99,-53,11.11111111111111
CNC033,2024-09-07,4450,2.8,82,8,Running,False,2024-08-14,Vibration Issue,5,2,Technician G,Tightened bearings,2024-08-10,2024-09-20,Temperature Check,Technician G,Inspected cooling system,2024-09-07,166,High,1.9,0.5,Operator G,92,-52,12.5
CNC034,2024-09-07,4050,3.0,88,12,Running,True,2024-07-29,Electrical Failure,7,5,Technician H,Rewired machine,2024-08-05,2024-09-19,Electrical System,Technician H,Checked electrical components,2024-09-07,139,Low,4.2,1.4,Operator H,97,-53,8.333333333333332
CNC035,2024-09-07,4750,3.2,91,11,Running,True,2024-08-04,Spindle Breakdown,8,6,Technician I,Replaced spindle motor,2024-08-13,2024-09-23,Spindle Inspection,Technician I,Checked spindle alignment,2024-09-07,155,High,1.7,0.6,Operator I,89,-49,9.090909090909092
CNC036,2024-09-08,4500,2.1,79,10,Running,False,2024-08-16,Motor Failure,6,4,Technician J,Replaced motor,2024-08-04,2024-09-17,Routine Inspection,Technician J,"Routine oiling, checked bearings",2024-09-08,151,High,1.4,0.4,Operator J,98,-55,10.0
CNC037,2024-09-08,3600,1.8,85,9,Running,True,2024-08-24,Overheating,4,3,Technician K,Adjusted cooling system,2024-08-12,2024-09-25,Vibration Control,Technician K,Adjusted vibration damping,2024-09-08,134,Medium,3.3,1.2,Operator K,90,-47,11.11111111111111
CNC038,2024-09-08,4400,2.5,82,8,Running,False,2024-08-10,Vibration Issue,5,2,Technician L,Tightened bearings,2024-08-08,2024-09-21,Temperature Check,Technician L,Inspected cooling system,2024-09-08,167,High,1.6,0.5,Operator L,94,-51,12.5
CNC039,2024-09-08,4150,2.9,89,12,Running,True,2024-07-31,Electrical Failure,7,5,Technician M,Rewired machine,2024-08-07,2024-09-22,Electrical System,Technician M,Checked electrical components,2024-09-08,138,Low,4.5,1.3,Operator M,95,-50,8.333333333333332
CNC040,2024-09-08,4650,3.1,92,11,Running,True,2024-08-06,Spindle Breakdown,8,6,Technician N,Replaced spindle motor,2024-08-15,2024-09-26,Spindle Inspection,Technician N,Checked spindle alignment,2024-09-08,153,High,1.5,0.6,Operator N,87,-46,9.090909090909092
